head words,entry,sources,all lexemes,linked words,linked entries
"ougen, augan","<heading><strong>ougen</strong></heading>, <heading><strong>augan</strong></heading> (слгл. 1) <em>показывать, пред­ставлять</em>.",,,,
"ougenweide","<heading><strong>ougenweide</strong></heading> <lang>свн.</lang> <gender>жр</gender> <em>зрелище, услада для глаз</em>; <lang>нн.</lang> <lex>Augenweide</lex>.",,"Augenweide",,
"ouh","<heading><strong>ouh</strong></heading>, <lang>свн.</lang> <lex>ouch</lex> (нар. сз.) <em>также, ибо, и</em>; <lang>нн.</lang> <lex>auch</lex>; <lang>дс.</lang> <lex>ôk</lex>, <lang>да.</lang> <lex>ēac</lex>, <lex>ēc</lex>, <lang>а.</lang> <lex>eke</lex>, <lang>ди.</lang> <lang>го.</lang> <lex>auk</lex>.",,"ēac, ēc, eke, ôk, auch, auk, ouch",,
"ouwa","<heading><strong>ouwa</strong></heading>, <lang>свн.</lang> <lex>ouwe</lex> <gender>жр</gender>. <em>заливной луг, луг</em>; <lang>нн.</lang> <lex variants="Aue, Au">Au(e)</lex>; <lang>двн.</lang> <lex>aha</lex>, <lang>ди.</lang> <lex>ey</lex>, <lang>да.</lang> <lex>ēƷ</lex>, <lex>īƷ</lex> <gender>жр</gender> <em>остров</em>, откуда <lang>да.</lang> <lex>ēƷlond</lex>, <lex>īƷ</lex> <lex>lond</lex>, <lang>а.</lang> <lex>island</lex>.",,"ouwe, ey, īƷ, ēƷlond, island, lond, Au, aha, ēƷ, Aue",,
"owi, owe","<heading><strong>owi</strong></heading>, <heading><strong>owe</strong></heading> (межд.) <em>увы</em>.",,,,
"panter, pantera, pantel","<heading variants="panter, pantera"><strong>panter(a)</strong></heading>, <heading><strong>pantel</strong></heading> <gender>мр</gender> <em>пантера</em> (<lang>лат.</lang> <lex>panthēr[a]</lex>).",,"panthēr[a]",,
"paradis, paradisi","<heading variants="paradis, paradisi"><strong>paradis(i)</strong></heading> <gender>срр</gender> <em>рай</em>; <lang>рнвн.</lang> <lex>paradeis</lex>; <lang>нн.</lang> <lex>Paradies</lex> (из <lang>церк.-лат.</lang> <lex>paradisum</lex>, заимств. из <lang>греч.</lang> <lex>parádeisos</lex>, взятого, в свою очередь, из <lang>дп.</lang>).",,"parádeisos, paradeis, Paradies, paradisum",,
"parit","<heading><strong>parit</strong></heading> <lang>нжн.</lang> = <lex>phârit</lex>, <linked>см. pfarifrit</linked>.",,"phârit","pfarifrit","<heading><strong>pfarifrit</strong></heading> <gender>срр</gender>, <lang>свн.</lang> <lex>pfārit</lex> <em>лошадь, конь</em>; <lang>нн.</lang> <lex>Pferd</lex>; из <lang>слат.</lang> <lex>paraverēdus</lex> <em>почто­вая лошадь</em>."
"peh, pehh","<heading variants="peh, pehh"><strong>peh (hh)</strong></heading> <gender>срр</gender> (a), <lang>свн.</lang> <lex>pech</lex> <em>смола, вар, адский огонь</em>; <lang>нн.</lang> <lex>Pech</lex> (из <lang>лат.</lang> <lex>pix</lex>, род. <lex>picis</lex> <em>смола</em>).",,"Pech, pix, pech, picis",,
"perg, pereg","<heading><strong>perg</strong></heading>, <heading><strong>pereg</strong></heading> <gender>мр</gender>, <linked>см. berg</linked>.",,,"berg","<heading><strong>berg</strong></heading>, <heading><strong>perg</strong></heading>, <heading><strong>pereg</strong></heading>, <heading><strong>berch</strong></heading>, <lang>свн.</lang> <lex variants="berc, berg">berc (g)</lex> <gender>мр</gender> (a) <em>гора</em>; <lang>нн.</lang> <lex>Berg</lex>; <lang>да.</lang> <lex>beorƷ</lex> <em>мо­гильный курган</em>, <lang>ди.</lang> <lex>berg</lex>, <lex>bjarg</lex>, <lang>го.</lang> <lex>bairgahei</lex> <gender>жр</gender> <em>горы, горная цепь</em>; ср. <lang>русск.</lang> <lex>«берег»</lex>, <lang>слав.</lang> <lex>«брег»</lex>."
"pergamin","<heading><strong>pergamin</strong></heading>, <lang>свн.</lang> <lex>perimint</lex> <gender>срр</gender> <em>пергамен(т)</em>; <lang>нн.</lang> <lex>Pergament</lex>.",,"perimint, Pergament",,
"pert","<heading><strong>pert</strong></heading>, <source>— Анно—</source> <lex>perht</lex> (прил.) <em>светлый, ясный, блестящий</em>.","Анно","perht",,
"pfad","<heading><strong>pfad</strong></heading> <gender>мр</gender> (a), <lang>свн.</lang> <lex variants="pfat, pfad">pfat (d)</lex> <em>тропа</em>; <lang>нн.</lang> <lex>Pfad</lex>; <lang>да.</lang> <lex>pæð</lex>, <lex>pað</lex>; ср. <lang>русск.</lang> <lex>«под (печи)»</lex>.",,"Pfad, pæð, «под (печи)», pað, pfat, pfad",,
"pfaffo","<heading><strong>pfaffo</strong></heading> <gender>мр</gender> (n), <lang>свн.</lang> <lex>pfaffe</lex> <em>священник</em>; <lang>нн.</lang>  <lex>Pfaffe</lex> <em>поп</em> (заимств., по-видимому, через <lang>го.</lang> из <lang>греч.</lang> <lex>papās</lex> <em>младший священнослужитель</em>).",,"Pfaffe, papās, pfaffe",,
"pfarifrit","<heading><strong>pfarifrit</strong></heading> <gender>срр</gender>, <lang>свн.</lang> <lex>pfārit</lex> <em>лошадь, конь</em>; <lang>нн.</lang> <lex>Pferd</lex>; из <lang>слат.</lang> <lex>paraverēdus</lex> <em>почто­вая лошадь</em>.",,"pfārit, paraverēdus, Pferd",,
"pfarra","<heading><strong>pfarra</strong></heading> <gender>жр</gender> (ô), <lang>свн.</lang> <lex>pfarre</lex> <em>церковный при­ход</em>; мн. <lex>Pfarre</lex>.",,"pfarre, Pfarre",,
"plle, pfell","<heading><strong>plle</strong></heading>, <heading><strong>pfell</strong></heading> <lang>свн.</lang> <gender>мр</gender>. <em>тонкая шелковая ткань, одежда из тонкой шелковой ткани</em> (их <lang>слат.</lang> <lex>palliolum</lex>).",,"palliolum",,
"pfenden","<heading><strong>pfenden</strong></heading> <lang>свн.</lang> (слгл.) <em>брать в залог, гра­бить; обижать; лишать</em>; <lang>нн.</lang> <lex>pfänden</lex>.",,"pfänden",,
"pfenning","<heading><strong>pfenning</strong></heading> <gender>мр</gender> <em>название монеты</em>; <lang>нн.</lang> <lex>Pfennig</lex> <lang>дс.</lang> <lex>pending</lex>, <lang>да.</lang> <lex variants="penninƷ, penniƷ">penni(n)Ʒ</lex>, <lang>ди.</lang> <lex variants="penningr, peningr">pen(n)ingr</lex>.",,"penniƷ, penninƷ, peningr, Pfennig, pending, penningr",,
"pflega, plege","<heading><strong>pflega</strong></heading>, <heading><strong>plege</strong></heading>, <lang>свн.</lang> <lex>pflege</lex> <gender>жр</gender> (ô)<em> присмотр, уход, попечение, внимание</em>; <lang>нн.</lang> <lex>Pflege</lex>; <lang>да.</lang> <lex>pleƷe</lex>.",,"pleƷe, pflege, Pflege",,
"pflegan","<heading><strong>pflegan</strong></heading>, <lang>свн.</lang> <lex>pflegen</lex> (снгл. 5) <em>заботиться, ухаживать, охранять</em>; <lang>нн.</lang> <lex>pflegen</lex>; <lang>дс.</lang> <lex>plegan</lex>; <lang>да.</lang> <lex>plēon</lex> (из <lex>plehan</lex>) <em>ос­меливаться, рисковать</em>.",,"plēon, plehan, plegan, pflegen",,
"pfragener","<heading><strong>pfragener</strong></heading> <lang>свн.</lang> <gender>мр</gender> <em>мелкий торговец</em>.",,,,
"phigboum","<heading><strong>phigboum</strong></heading> <gender>мр</gender> (a) <em>смоковница, фиговое де­рево</em>; <lang>нн.</lang> <lex>Feigenbaum</lex>.",,"Feigenbaum",,
"phingeste","<heading><strong>phingeste</strong></heading> <lang>свн.</lang> <gender>жр</gender> <em>троицын день</em>; <lang>нн.</lang> <lex>Pfingsten</lex>; (<lang>греч.-лат.</lang> <lex>pentēcostē</lex> <em>пя­тидесятый [день после пасхи]</em>).",,"Pfingsten, pentēcostē",,
"phlanzôn, flanzôn","<heading><strong>phlanzôn</strong></heading>, <heading><strong>flanzôn</strong></heading> (слгл. 2)<em> сажать (растения)</em>; <lang>нн.</lang> <lex>pflanzen</lex> (<lang>лат.</lang> <lex>plantare</lex>).",,"plantare, pflanzen",,
"pidiu, pediu, bithiu, bidiu","<heading><strong>pidiu</strong></heading>, <heading><strong>pediu</strong></heading>, <heading><strong>bithiu</strong></heading>, <heading><strong>bidiu</strong></heading> (нар.) <em>потому, потому что</em>: <lex>bi</lex> и твор. <lex>diu</lex>; <lex>bithiu</lex> <lex>wanta</lex> <em>потому что</em>.",,"bithiu, bi, wanta, diu",,
"pîna","<heading><strong>pîna</strong></heading> <gender>жр</gender> (ô), <lang>свн.</lang> <lex>pîne</lex> <em>мучение, мука, на­казание</em>; <lang>нн.</lang> <lex>Pein</lex> (из <lang>слат.</lang> <lex>pēna</lex> <em>воз­мездие в аду</em>).",,"pîne, Pein, pēna",,
"plâgen","<heading><strong>plâgen</strong></heading> <lang>свн.</lang> (слгл.) <em>наказывать, мучить</em>; <lang>нн.</lang> <lex>plagen</lex>; произв. от <lang>двн.</lang> <source>— Нотк.—</source> <lex>plâga</lex> <gender>жр</gender> (ô), <lang>свн.</lang> <lex>plâge</lex> <em>наказание, ниспосланное богом</em> (<lang>лат.</lang> <lex>plāga</lex> <em>удар</em>).","Нотк.","plagen, plāga, plâge, plâga",,
"plân","<heading><strong>plân</strong></heading> <lang>свн.</lang> <gender>мр</gender>. <lex>plâne</lex> <gender>жр</gender> <em>равнина</em> (из <lang>франц.</lang> <lex>plâne</lex> (ок. 1200 г.).",,"plâne",,
"pluot","<heading><strong>pluot</strong></heading> <gender>срр</gender>, <linked>см. bluot</linked>.",,,"bluot","<heading><strong>bluot</strong></heading>, <heading><strong>pluot</strong></heading> <lang>двн.</lang> <lang>свн.</lang> <gender>срр</gender> (a) <em>кровь</em>; <lang>нн.</lang> <lex>Blut</lex>; <lang>дс.</lang> <lang>да.</lang> <lex>blōd</lex>, <lang>ди.</lang> <lex>blóð</lex>, <lang>го.</lang> <lex>bloþ</lex>., <heading><strong>bluod</strong></heading>, <heading><strong>bluot</strong></heading> <lang>двн.</lang> <lang>свн.</lang> <gender>жр</gender> (i) <em>цвет, цветок, цветение</em>; <lang>нн.</lang> <lex>Blüte</lex> (— мн. <lang>двн.</lang> <lex>bluoti</lex>, <lang>свн.</lang> <lex>blüete</lex>)."
"poisûn","<heading><strong>poisûn</strong></heading> <lang>свн.</lang> <gender>мр</gender> <em>яд, волшебный напиток, напиток любви</em> (<lang>франц.</lang> <lex>poison</lex>).",,"poison",,
"poum","<heading><strong>poum</strong></heading> <gender>мр</gender>, <linked>см. boum</linked>.",,,"boum","<heading><strong>boum</strong></heading>, <heading><strong>poum</strong></heading>, <heading><strong>paum</strong></heading>, <lang>свн.</lang> <lex>boum</lex> <gender>мр</gender> (a) <em>дерево</em>; <lang>нн.</lang> <lex>Baum</lex>; <lang>дс.</lang> <lex>bôm</lex>, <lang>да.</lang> <lex>bēam</lex>, отсюда <lang>а.</lang> <lex>beam</lex> <em>балка</em>; ср. <lang>го.</lang> <lex>bagms</lex>."
"prechen","<heading><strong>prechen</strong></heading> (снгл.), <linked>см. brehhan</linked>.",,,"brehhan","<heading><strong>brehhan</strong></heading>, <heading><strong>prechen</strong></heading>, <lang>свн.</lang> <lex>brechen</lex> (снгл. 4) <em>ломать, разрушать, нарушать, про­никать, пронзать</em>; <lang>нн.</lang> <lex>brechen</lex>; <lang>дс.</lang> <lang>да.</lang> <lex>brecan</lex>, <lang>го.</lang> <lex>brikan</lex>."
"predigôn","<heading><strong>predigôn</strong></heading> (слгл. 2), <lang>свн.</lang> <lex>predigen</lex> <em>проповедывать</em>; <lang>нн.</lang> <lex>predigen</lex> (из <lang>церк.-лат.</lang> <lex>predicāre</lex>).",,"predigen, predicāre",,
"prêstar","<heading><strong>prêstar</strong></heading>, позднее <lex>priester</lex>, <lang>свн.</lang> <lex>priester</lex> <em>священник</em>; <lang>нн.</lang> <lex>Priester</lex> (<lang>лат.-греч.</lang> <lex>presbyter</lex>).",,"presbyter, Priester, priester",,
"prîs","<heading><strong>prîs</strong></heading> <lang>свн.</lang> <gender>мр</gender> <em>хвала, слава, (высокая) оценка, награда</em>; <lang>нн.</lang> <lex>Preis</lex> (из <lang>стфр.</lang> <lex>pris</lex>, около 1200 г.).",,"Preis, pris",,
"prôsa","<heading><strong>prôsa</strong></heading> <gender>жр</gender> (n) <em>проза</em> (<lang>лат.</lang>).",,,,
"prunne, prünne","<heading><strong>prunne</strong></heading>, <heading><strong>prünne</strong></heading> <gender>жр</gender>, <linked>см. brunia</linked>.",,,"brunia","<heading><strong>brucca</strong></heading>, <heading><strong>bruke</strong></heading> <gender>жр</gender> (jô), <lex>brücke</lex> <em>мост</em>; <lang>нн.</lang> <lex>Brücke</lex>; <lang>да.</lang> <lex>brycƷ</lex>, <lang>ди.</lang> <lex>bryggja</lex>; родств. по корню <lang>русск.</lang> <lex>«бревно»</lex>. <lex>brunia</lex>, <lex>brunna</lex>, <lex>prunne</lex> <gender>жр</gender> (jô), <lang>свн.</lang> <lex>brünne</lex>, <lex>prunne</lex> <em>броня, кольчуга</em>; <lang>да.</lang> <lex>byrne</lex>, <lang>ди.</lang> <lex>brynja</lex>, <lang>го.</lang> <lex>brunjō</lex> (<lang>кельт.?</lang>)."
"prût","<heading><strong>prût</strong></heading> <gender>жр</gender>. <linked>см. brût</linked>.",,,"brût","<heading><strong>brût</strong></heading>, <heading><strong>prût</strong></heading> <lang>двн.</lang> <lang>свн.</lang> <gender>жр</gender> (i)<em> новобрачная, жена, невеста, невестка, сноха</em>; <lang>нн.</lang> <lex>Braut</lex>; <lang>дс.</lang> <lex>brûd</lex>, <lang>да.</lang> <lex>brȳd</lex>, <lang>ди.</lang> <lex>brúðr</lex>, <lang>го.</lang> <lex>brūþs</lex>."
"psalmo","<heading><strong>psalmo</strong></heading> <gender>мр</gender> (n), <lex>psalm</lex> <gender>мр</gender> (a) <em>псалом</em> (<lang>церк.-лат.</lang> <lex>psalmus</lex>).",,"psalmus, psalm",,
"ragen","<heading><strong>ragen</strong></heading> <lang>свн.</lang> (слгл.) <em>возвышаться</em>; <lang>нн.</lang> <lex>ragen</lex>.",,"ragen",,
"rahha, racha","<heading><strong>rahha</strong></heading>, <heading><strong>racha</strong></heading> <gender>жр</gender> (ô) <em>речь, изложение; отчет, ответственность; вещь; со­стояние, образ действия</em>; <lang>дс.</lang> <lex>raka</lex>, <lang>да.</lang> <lex>racu</lex>.",,"racu, raka",,
"rahhôn","<heading><strong>rahhôn</strong></heading> (слгл. 2) <em>рассказывать</em>.",,,,
"râmên","<heading><strong>râmên</strong></heading> (слгл. 3), <lang>свн.</lang> <lex>râmen</lex> <em>стремиться, добиваться, метить</em>.",,"râmen",,
"rant","<heading><strong>rant</strong></heading> <lang>двн.</lang> <lang>свн.</lang> <gender>мр</gender> <em>острие на выпуклой поверхности щита, край (щита)</em>; <lang>нн.</lang> <lex>Rand</lex>.",,"Rand",,
"rasten","<heading><strong>rasten</strong></heading> (слгл.), <linked>см. resten</linked>.",,,"resten","<heading><strong>resten</strong></heading> <source>— Анно—</source> (слгл.) <em>покоиться (в могиле), отдыхать</em> (<lang>лат.</lang> <lex>restāre</lex> <em>ос­таваться</em>), <linked variants="resti">см. resti <gender>жр</gender></linked>."
"rât","<heading><strong>rât</strong></heading> <lang>двн.</lang> <lang>свн.</lang> <gender>мр</gender> (a) <em>совет, совещание; имеющееся (в наличии) средство, по­мощь; запас (пищи)</em>; <lang>нн.</lang> <lex>Rat</lex>, <lex>Vorrat</lex>; <lang>дс.</lang> <lex>râd</lex> также <em>польза, выгода</em>, <lang>да.</lang> <lex>rǣd</lex> также <em>сила</em>, <lang>ди.</lang> <lex>ráð</lex> <gender>срр</gender> также <em>же­нитьба</em>; <source>— Людв.—</source> <lex>ob</lex> <lex>hiu</lex> <lex>rât</lex> <lex>thûhti</lex> <em>если вам это покажется благоразум­ным</em>.","Людв.","rǣd, rât, thûhti, hiu, Vorrat, ob, râd, ráð, Rat",,
"râtan","<heading><strong>râtan</strong></heading>, <lang>свн.</lang> <lex>râten</lex> (снгл. 7) <em>советовать</em>; <lang>нн.</lang> <lex>raten</lex>; <lang>дс.</lang> <lex>râdan</lex>, <lang>да.</lang> <lex>rǣdan</lex>, <lang>ди.</lang> <lex>ráða</lex> также <em>читать(руны), собств. отгадывать</em>, <lang>го.</lang> <lex>garedan</lex> <em>заранее забо­титься</em>.",,"râten, ráða, raten, garedan, râdan, rǣdan",,
"ratissa","<heading><strong>ratissa</strong></heading> <gender>жр</gender> (ô) <em>притча</em>.",,,,
"rebesnit","<heading><strong>rebesnit</strong></heading> <source>— Вилл.—</source> <gender>мр</gender> <em>сбор винограда</em>.","Вилл.",,,
"redespâhe, redespæhe","<heading><strong>redespâhe</strong></heading>, <heading><strong>redespæhe</strong></heading> <source>— Имп.—</source> (прил.) <em>красноречивый</em>.","Имп.",,,
"redi, hrad","<heading><strong>redi</strong></heading>, <heading><strong>hrad</strong></heading> (прил.) <em>смелый, отважный</em>; <lang>да.</lang> <lex>hræd</lex>, <lex>hrseð</lex>.",,"hrseð, hræd",,
"redia, redha","<heading><strong>redia</strong></heading>, <heading><strong>redha</strong></heading> <gender>жр</gender> (ô, реже n) <em>отчет, речь, рассказ</em>, <lang>свн.</lang> <lex>rede</lex>; <lang>нн.</lang> <lex>Rede</lex>; <lang>дс.</lang> <lex>reðia</lex>, <lang>го.</lang> <lex>raþjo</lex> <em>отчет</em>; раннее заимствование из <lang>лат.</lang> <lex>ratio</lex>.",,"rede, reðia, raþjo, ratio, Rede",,
"redina","<heading><strong>redina</strong></heading> <gender>жр</gender> (ô) <em>отчет, размышление; рассказ, речь</em>; то же, что <lex>redia</lex>.",,"redia",,
"redinôn","<heading><strong>redinôn</strong></heading> (слгл. 2), то же, что <lex>redôn</lex>.",,"redôn",,
"redôn, redion","<heading><strong>redôn</strong></heading>, <heading><strong>redion</strong></heading> (слгл. 2), <lang>свн.</lang> <lex>reden</lex> <em>гово­рить, рассказывать</em>; <lang>нн.</lang> <lex>reden</lex>, <lang>ем.</lang> <lex>redia</lex>.",,"reden, redia",,
"ref, href","<heading><strong>ref</strong></heading>, <heading><strong>href</strong></heading>, род. <lex variants="hreves, reves">(h)reves</lex> <em>тело, чрево</em>; <lang>да.</lang> <lex>hrif</lex>; ср. <lang>русск.</lang> <lex>«чрево»</lex>.",,"«чрево», hreves, reves, hrif",,
"regan","<heading><strong>regan</strong></heading> <gender>мр</gender> (a), <lang>свн.</lang> <lex>regen</lex> <em>дождь</em>; <lang>нн.</lang> <lex>Regen</lex>; <lang>дс.</lang> <lex>regan</lex>, <lang>да.</lang> <lex>reƷn</lex> <gender>мр</gender>, <lang>ди.</lang> <lex>regn</lex>, <lang>го.</lang> <lex>rign</lex> <gender>срр</gender>; ср. <lang>лат.</lang> <lex>rigāre</lex> <em>орошать</em>.",,"rigāre, regen, rign, regan, regn, Regen, reƷn",,
"reganôn","<heading><strong>reganôn</strong></heading>, <lang>свн.</lang> <lex>regenen</lex>, <lex>regnen</lex> (слгл. 2) <em>дождить</em>; <lang>нн.</lang> <lex>regnen</lex>; <lang>ди.</lang> <lex>rigna</lex>, <lang>го.</lang> <lex>rignjan</lex>.",,"regenen, regnen, rigna, rignjan",,
"regenguȥ","<heading><strong>regenguȥ</strong></heading> <gender>мр</gender> <em>ливень</em>; <lang>нн.</lang> <lex>Regenguß</lex>.",,"Regenguß",,
"regula","<heading><strong>regula</strong></heading> <gender>жр</gender> (ô) <em>мерило, правило</em>; <lang>нн.</lang> <lex>Regel</lex> (<lang>лат.</lang> <lex>regula</lex>).",,"regula, Regel",,
"rehhan","<heading><strong>rehhan</strong></heading> (снгл. 4), <lang>свн.</lang> <lex>rechen</lex> <em>наказывать, мстить</em>; <lang>нн.</lang> <lex>rächen</lex>; <lang>дс.</lang> <lex>wrekan</lex>, <lang>да.</lang> <lex>wrecan</lex>, <lang>ди.</lang> <lex>reka</lex> <em>прогонять</em>, <lang>го.</lang> <lex>wrikan</lex> <em>преследовать</em>.",,"reka, rechen, wrecan, wrekan, wrikan, rächen",,
"reht","<heading><strong>reht</strong></heading> <lang>двн.</lang> <lang>свн.</lang> (прил.) <em>правый, справед­ливый, правильный, прямой, правед­ный</em>; <lang>нн.</lang> <lex>recht</lex>; <lang>дс.</lang> <lex>reht</lex>, <lang>да.</lang> <lex>riht</lex>, <lang>ди.</lang> <lex>rettr</lex>, <lang>го.</lang> <lex>raihts</lex>; ср. <lang>лат.</lang> <lex>rectus</lex>; <lang>двн.</lang> <lex>rehto</lex>, <lang>свн.</lang> <lex>rehte</lex> (нар.).",,"recht, reht, rehto, rectus, riht, raihts, rettr, rehte",,
"reht","<heading><strong>reht</strong></heading> <lang>двн.</lang> <lang>свн.</lang>, <lex>rehd</lex> <source>— Исид.—</source> <gender>срр</gender> <em>пра­вое дело, право, долг</em>; <lang>нн.</lang> <lex>Recht</lex>; <lang>да.</lang> <lex>riht</lex>.","Исид.","Recht, riht, rehd",,
"rehtemo","<heading><strong>rehtemo</strong></heading> <gender>мр</gender> (n) <em>правильное, справедливое дело</em>.",,,,
"rehtfesti","<heading><strong>rehtfesti</strong></heading> <gender>жр</gender> <em>устав</em>.",,,,
"rehtkern, rehtgern","<heading><strong>rehtkern</strong></heading>, <heading><strong>rehtgern</strong></heading> (прил.) <em>справедливый</em>.",,,,
"rehtnissa","<heading><strong>rehtnissa</strong></heading> <gender>жр</gender> (ô) <em>равенство, справедли­вость, правосудие</em>.",,,,
"reie, reige","<heading><strong>reie</strong></heading>, <heading><strong>reige</strong></heading> <gender>мр</gender> (n) <lang>свн.</lang> <em>хоровод (в поле, на лугу, на лужайке)</em>; из рыцарского жаргона начала XIII в., заимств. из <lang>франц.</lang> <lex>raie</lex> <em>танец</em>; <lang>нн.</lang> <lex>Reihen</lex> или <lex>Reigen</lex>.",,"Reigen, Reihen, raie",,
"reini, hreini","<heading><strong>reini</strong></heading>, <heading><strong>hreini</strong></heading>, <lang>свн.</lang> <lex>reine</lex>, <lex>rein</lex> (прил.) <em>чистый, ясный, верный</em>; <lang>нн.</lang> <lex>rein</lex>; <lang>дс.</lang> <lex>hrêni</lex>, <lang>ди.</lang> <lex>hreinn</lex>, <lang>го.</lang> <lex>hrains</lex>.",,"reine, hreinn, hrains, hrêni, rein",,
"reinî, hreinî","<heading><strong>reinî</strong></heading>, <heading><strong>hreinî</strong></heading> <gender>жр</gender> <em>чистота, красота</em>.",,,,
"reinôn, hreinôn","<heading><strong>reinôn</strong></heading>, <heading><strong>hreinôn</strong></heading> (слгл. 2), <lex variants="hreinen, reinen">(h)reinen</lex> (слгл. 1), <lang>свн.</lang> <lang>рнвн.</lang> <lex>reinen</lex> <em>чистить, очи­щать</em>; ср. <lang>нн.</lang> <lex>reinigen</lex> из <lang>свн.</lang> <lex>reinegen</lex>.",,"reinigen, reinegen, reinen, hreinen",,
"reisa","<heading><strong>reisa</strong></heading> <gender>жр</gender>, <lang>свн.</lang> <lex>reise</lex> <em>военный поход, путе­шествие</em>; <lang>нн.</lang> <lex>Reise</lex>.",,"Reise, reise",,
"reisîg","<heading><strong>reisîg</strong></heading> <lang>свн.</lang> (прил.) <em>готовый к отъезду, (вооруженный) верховой</em>; субст. <em>солдат-конник</em>.",,,,
"reisôn","<heading><strong>reisôn</strong></heading> (слгл. 2), <lang>свн.</lang> <lex>reisen</lex> <em>снаряжать, быть готовым, выступать (в поход), отправляться в путь</em>; <lang>нн.</lang> <lex>reisen</lex>.",,"reisen",,
"rêja","<heading><strong>rêja</strong></heading> <gender>жр</gender> (n), <lex>reh</lex> <gender>срр</gender>, <lex variants="rech, re">re(ch)</lex> <em>серна, козуля</em>; <lang>нн.</lang> <lex>Reh</lex>; <lang>дс.</lang> <lex>rêho</lex>, <lang>да.</lang> <lex>rā</lex>, <lang>ди.</lang> <lex>rǫ'</lex>.",,"rā, rǫ', reh, rech, re, Reh, rêho",,
"recchen","<heading><strong>recchen</strong></heading> (слгл. 1), <lang>свн.</lang> <lex>recken</lex> <em>растяги­вать, вытягивать</em>; <lang>нн.</lang> <lex>recken</lex>; <lang>дс.</lang> <lex>rekkian</lex> <em>расставлять, объяснять, изла­гать</em>; <lang>да.</lang> <lex variants="reccean, reccan">recc(e)an</lex>, <lang>ди.</lang> <lex>rekja</lex>, <lang>го.</lang> <lex variants="ufrakjan, rakjan">(uf)rakjan</lex> <em>простирать</em>.",,"rekja, reccean, rakjan, ufrakjan, rekkian, reccan, recken",,
"reccheo","<heading><strong>reccheo</strong></heading> <gender>мр</gender> (n) <em>изгнанник; богатырь, ви­тязь</em>, <lang>свн.</lang> <lex>recke</lex> <em>воин, герой</em>; <lang>дс.</lang> <lex>wrekkio</lex>, <lang>да.</lang> <lex>wrecca</lex> <em>беглец, несчаст­ный</em> (<lang>а.</lang> <lex>wretch</lex> <em>нищий</em>); в XIV—XV вв. <lex>recke</lex> также <em>великан</em>; <lang>нн.</lang> <lex>Recke</lex> со второй пол. XVIII в.",,"Recke, wrecca, wretch, recke, wrekkio",,
"rekkian","<heading><strong>rekkian</strong></heading> <lang>дс.</lang> (слгл. 1), <linked>см. recchen</linked>.",,,"recchen","<heading><strong>recchen</strong></heading> (слгл. 1), <lang>свн.</lang> <lex>recken</lex> <em>растяги­вать, вытягивать</em>; <lang>нн.</lang> <lex>recken</lex>; <lang>дс.</lang> <lex>rekkian</lex> <em>расставлять, объяснять, изла­гать</em>; <lang>да.</lang> <lex variants="reccean, reccan">recc(e)an</lex>, <lang>ди.</lang> <lex>rekja</lex>, <lang>го.</lang> <lex variants="ufrakjan, rakjan">(uf)rakjan</lex> <em>простирать</em>."
"resten","<heading><strong>resten</strong></heading> <source>— Анно—</source> (слгл.) <em>покоиться (в могиле), отдыхать</em> (<lang>лат.</lang> <lex>restāre</lex> <em>ос­таваться</em>), <linked variants="resti">см. resti <gender>жр</gender></linked>.","Анно","restāre","resti","<heading><strong>resti</strong></heading> <gender>жр</gender> <em>покой</em>; ср. <lang>нн.</lang> <lex>Rest</lex> <gender>мр</gender> с XVI в. в значении <em>«остаток (товара)»</em>; ср. <lang>лат.</lang> <lex>restum</lex>."
"resti","<heading><strong>resti</strong></heading> <gender>жр</gender> <em>покой</em>; ср. <lang>нн.</lang> <lex>Rest</lex> <gender>мр</gender> с XVI в. в значении <em>«остаток (товара)»</em>; ср. <lang>лат.</lang> <lex>restum</lex>.",,"Rest, restum",,
"retten","<heading><strong>retten</strong></heading> <lang>двн.</lang> <lang>свн.</lang> (слгл. 1) <em>вырывать, вы­хватывать, освобождать; спасать</em>; <lang>нн.</lang> <lex>retten</lex>; <lang>да.</lang> <lex>hreddan</lex>, <lang>а.</lang> <lex>rid</lex>.",,"hreddan, retten, rid",,
"ridôn","<heading><strong>ridôn</strong></heading> (слгл. 2), <lang>свн.</lang> <lex>riden</lex> <em>дрожать, тря­стись</em>.",,"riden",,
"rieme","<heading><strong>rieme</strong></heading> <lang>свн.</lang> <gender>мр</gender>, <linked>см. riomo</linked>.",,,"riomo","<heading><strong>riomo</strong></heading> <gender>мр</gender> (n), <lang>свн.</lang> <lex>rieme</lex> <em>ремень</em>; <lang>нн.</lang> <lex>Riemen</lex>; <lang>дс.</lang> <lex>riomo</lex>, <lang>да.</lang> <lex>rēoma</lex>."
"rivier","<heading><strong>rivier</strong></heading> <lang>свн.</lang> <gender>мр</gender> <gender>жр</gender> <gender>срр</gender> <em>ручей, река</em> (<lang>франц.</lang> <lex>riviere</lex>).",,"riviere",,
